Date,portfolio_value,benchmark_^GSPC
2025-08-20,106055.43646335602,104542.0415541677
2025-08-21,106814.54223060608,104123.43624234025
2025-08-22,107993.23683595657,105704.70106722729
2025-08-25,107385.92152881622,105253.7240582317
2025-08-26,107564.49903678894,105688.84244733748
2025-08-27,107874.51012802124,105941.54281117817
2025-08-28,108006.63634300232,106275.97053670569
2025-08-29,108295.15322828293,105595.99729123365
2025-09-02,108432.80321455002,104865.03223777168
2025-09-03,108763.70989990234,105399.85162318526
2025-09-04,109479.23959207535,106279.57005234249
2025-09-05,109600.86049127579,105943.17895464944
